"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HR.Delta.iCH4.Std"	"HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Std"	"Delta.13CO2.Mean"	"Delta.13CO2.Std"	"HR.12CH4.Mean"	"HR.12CH4.Std"	"HR.13CH4.Mean"	"HR.13CH4.Std"	"HP.12CH4.Mean"	"HP.12CH4.Std"	"HP.13CH4.Mean"	"HP.13CH4.Std"	"X12CO2.Mean"	"X12CO2.Std"	"X13CO2.Mean"	"X13CO2.Std"	"H2O.Mean"	"H2O.Std"	"ChemDetect.Mean"	"SSIM.Pressure..torr."	"Valve.Position"	"Standard.Delta.iCH4"	"Standard.Delta.iCO2"	"Standard.13CH4"	"Standard.13CO2"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"Timestamp.cor"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"nominal.conc"	"nominal.delta"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"
"1"	1	1	"04/05/16 23:36:49"	1459899163.78083	-47.607	6.039	-55.698	4.324	-6.065	0.468	1.241	0.006	0.013	0	1.243	0.001	0.013	0	634.92	0.194	7.092	0.004	0.006	0.001	0	NA	NA	NA	NA	NA	NA	"1"	1	10	1200	" PtBarrow_North 11m slow meas mode"	"04/05/16"	"23:36:49"	1459899163.78083	1.256	1.254	642.012	NA	NA	1013.5	1	760.18751541645	3.15711577910513	2.84273926050569	-58.5407392605057
"2"	2	1	"04/05/16 23:52:46"	1459900119.5009	-52.236	5.529	-56.639	4.08	-6.364	0.483	1.278	0.006	0.014	0	1.277	0.001	0.014	0	653.372	0.167	7.303	0.004	0.059	0.001	0	NA	NA	NA	NA	NA	NA	"1"	1	10	1200	" PtBarrow_North 11m slow meas mode"	"04/05/16"	"23:52:46"	1459900119.5009	1.291	1.292	660.675	NA	NA	1013.5	1	760.18751541645	3.15711577910513	2.78639492067776	-59.4253949206778
"7"	7	1	"04/06/16 01:18:27"	1459905261.97464	-62.328	61.879	-26.906	47.063	-28.627	7.686	0.107	0.005	0.001	0	0.107	0.001	0.001	0	32.592	0.46	0.357	0.006	0.142	0.003	0	NA	NA	NA	NA	NA	NA	"4"	4	15	1200	" Near_IMB 3m slow meas mode (valve open sample pumped away)"	"04/06/16"	"01:18:27"	1459905261.97464	0.108	0.108	32.949	NA	NA	1011.6	2	758.76239821932	2.10869700943921	7.87252930630873	-34.7785293063087
"9"	9	1	"04/06/16 01:51:16"	1459907231.02034	-68.297	4.238	-57.288	3.555	-3.287	0.356	1.534	0.006	0.016	0	1.532	0	0.016	0	949.734	0.775	10.753	0.004	0.616	0.041	0	NA	NA	NA	NA	NA	NA	"5"	5	15	1200	" Near_IMB 1m slow meas mode"	"04/06/16"	"01:51:16"	1459907231.02034	1.548	1.55	960.487	NA	NA	1011.6	2	758.76239821932	2.10869700943921	2.41422426090655	-59.7022242609065
"10"	10	1	"04/06/16 02:06:30"	1459908143.96202	-71.004	7.352	-55.584	5.004	-4.261	0.509	0.997	0.007	0.01	0	0.994	0	0.011	0	618.307	0.232	6.978	0.004	0.487	0.035	0	NA	NA	NA	NA	NA	NA	"5"	5	10	1200	" Near_IMB 1m slow meas mode"	"04/06/16"	"02:06:30"	1459908143.96202	1.005	1.007	625.285	NA	NA	1011.6	2	758.76239821932	3.16304551415881	3.29977553990237	-58.8837755399024
"18"	8	1	"04/08/16 13:30:00"	1460121954.74192	-74.097	8.604	-47.052	5.871	-7.214	1.171	0.844	0.006	0.009	0	0.838	0	0.009	0	232.931	0.081	2.623	0.004	0.532	0.043	0	NA	NA	NA	NA	NA	NA	"10"	10	10	1200	"  Mtot = 695.33g"	"04/08/16"	"13:30:00"	1460121954.74192	0.847	0.853	235.554	NA	NA	1020	3	765.062916354	3.13699690404221	3.65041189787667	-50.7024118978767
"19"	9	1	"04/08/16 13:45:14"	1460122868.17948	-107.057	9.296	-42.562	7.176	-3.404	1.139	0.819	0.006	0.008	0	0.824	0.001	0.009	0	231.902	0.095	2.666	0.004	1.465	0.059	0	NA	NA	NA	NA	NA	NA	"10"	10	10	1200	"  Mtot = 695.33g"	"04/08/16"	"13:45:14"	1460122868.17948	0.833	0.827	234.568	NA	NA	1020	3	765.062916354	3.13699690404221	3.68457935547135	-46.2465793554714
"20"	10	1	"04/08/16 14:00:36"	1460123791.0373	-103.495	7.199	-42.921	5.966	-3.155	1.105	0.942	0.007	0.01	0	0.95	0.001	0.01	0	240.81	0.116	2.778	0.004	1.623	0.07	0	NA	NA	NA	NA	NA	NA	"13"	13	10	1200	"  Mtot = 815.18g"	"04/08/16"	"14:00:36"	1460123791.0373	0.96	0.952	243.588	NA	NA	1020	3	765.062916354	3.13699690404221	3.39368508876652	-46.3146850887665
"21"	11	1	"04/08/16 14:16:06"	1460124721.06172	-101.697	7.301	-43.483	5.226	-4.108	1.078	0.926	0.006	0.01	0	0.936	0.001	0.01	0	251.469	0.155	2.897	0.004	1.6	0.074	0	NA	NA	NA	NA	NA	NA	"13"	13	10	1200	"  Mtot = 815.18g"	"04/08/16"	"14:16:06"	1460124721.06172	0.946	0.936	254.366	NA	NA	1020	3	765.062916354	3.13699690404221	3.42380105535703	-46.906801055357
"22"	12	1	"04/08/16 14:31:34"	1460125648.28711	-96.084	7.173	-45.466	4.937	-4.027	1.183	0.966	0.006	0.01	0	0.975	0.001	0.011	0	224.797	0.101	2.583	0.004	1.47	0.068	0	NA	NA	NA	NA	NA	NA	"16"	16	10	1200	"  Mtot = 863.13g"	"04/08/16"	"14:31:34"	1460125648.28711	0.986	0.976	227.38	NA	NA	1020	3	765.062916354	3.13699690404221	3.33890279497798	-48.804902794978
