"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"Timestamp.cor"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"cali.date"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"T.equil"	"V.hs.initial"	"sal"	"hs.removed"
"1"	1	1	"04/05/16 23:36:49"	1459899163.78083	-47.607	-55.698	-6.065	1.241	0.013	1.243	0.013	1	1	10	1200	" PtBarrow_North 11m slow meas mode"	"04/05/16"	"23:36:49"	1459899163.78083	1.256	1.254	642.012	1013.5	1	760.18751541645	3.15711577910513	2.84273926050569	-58.5407392605057	"04/05/16"	902.89	"in situ"	"20160405"	11	28.5	0.1	34.99	0
"2"	2	1	"04/05/16 23:52:46"	1459900119.5009	-52.236	-56.639	-6.364	1.278	0.014	1.277	0.014	1	1	10	1200	" PtBarrow_North 11m slow meas mode"	"04/05/16"	"23:52:46"	1459900119.5009	1.291	1.292	660.675	1013.5	1	760.18751541645	3.15711577910513	2.78639492067776	-59.4253949206778	"04/05/16"	902.89	"in situ"	"20160405"	11	28.5	0.1	34.99	0
"3"	3	1	"04/06/16 00:08:16"	1459901050.45716	-53.623	-55.522	-4.312	1.929	0.021	1.931	0.021	1	1	16.5	1200	" PtBarrow_North 11m slow meas mode"	"04/06/16"	"00:08:16"	1459901050.45716	1.952	1.95	1008.924	1011.6	2	758.76239821932	1.91699728130837	0	-55.522	"04/06/16"	902.89	"in situ"	"20160405"	11	28.5	0.1	34.99	0
"4"	4	1	"04/06/16 00:30:11"	1459902364.83345	-51.965	-58.295	-4.897	1.802	0.019	1.804	0.019	3	3	15	1200	" PtBarrow_North 2m slow meas mode"	"04/06/16"	"00:30:11"	1459902364.83345	1.823	1.821	943.31	1011.6	2	758.76239821932	2.10869700943921	0	-58.295	"04/06/16"	913.27	"in situ"	"20160405"	2	28.5	0.1	34.99	0
"5"	5	1	"04/06/16 00:46:07"	1459903322.02533	-55.246	-57.046	-4.259	1.841	0.02	1.841	0.02	3	3	15	1200	" PtBarrow_North 2m slow meas mode"	"04/06/16"	"00:46:07"	1459903322.02533	1.861	1.861	965.72	1011.6	2	758.76239821932	2.10869700943921	0	-57.046	"04/06/16"	913.27	"in situ"	"20160405"	2	28.5	0.1	34.99	0
"6"	6	1	"04/06/16 01:02:46"	1459904319.82081	-55.864	-58.497	-4.349	1.852	0.02	1.852	0.02	4	4	15	1200	" Near_IMB 3m slow meas mode"	"04/06/16"	"01:02:46"	1459904319.82081	1.872	1.872	991.135	1011.6	2	758.76239821932	2.10869700943921	0	-58.497	"04/06/16"	885.5	"in situ"	"20160405"	3.5	28.5	0.1	34.99	0
"7"	7	1	"04/06/16 01:18:27"	1459905261.97464	-62.328	-26.906	-28.627	0.107	0.001	0.107	0.001	4	4	15	1200	" Near_IMB 3m slow meas mode (valve open sample pumped away)"	"04/06/16"	"01:18:27"	1459905261.97464	0.108	0.108	32.949	1011.6	2	758.76239821932	2.10869700943921	7.87252930630873	-34.7785293063087	"04/06/16"	885.5	"in situ"	"20160405"	3.5	28.5	0.1	34.99	0
"8"	8	1	"04/06/16 01:34:58"	1459906251.22763	-59.095	-57.479	-4.021	1.808	0.019	1.804	0.019	4	4	15	1200	" Near_IMB 3m slow meas mode"	"04/06/16"	"01:34:58"	1459906251.22763	1.823	1.827	950.426	1011.6	2	758.76239821932	2.10869700943921	0	-57.479	"04/06/16"	885.5	"in situ"	"20160405"	3.5	28.5	0.1	34.99	0
"9"	9	1	"04/06/16 01:51:16"	1459907231.02034	-68.297	-57.288	-3.287	1.534	0.016	1.532	0.016	5	5	15	1200	" Near_IMB 1m slow meas mode"	"04/06/16"	"01:51:16"	1459907231.02034	1.548	1.55	960.487	1011.6	2	758.76239821932	2.10869700943921	2.41422426090655	-59.7022242609065	"04/06/16"	636.42	"in situ"	"20160405"	1	28.5	0.1	34.99	0
"10"	10	1	"04/06/16 02:06:30"	1459908143.96202	-71.004	-55.584	-4.261	0.997	0.01	0.994	0.011	5	5	10	1200	" Near_IMB 1m slow meas mode"	"04/06/16"	"02:06:30"	1459908143.96202	1.005	1.007	625.285	1011.6	2	758.76239821932	3.16304551415881	3.29977553990237	-58.8837755399024	"04/06/16"	636.42	"in situ"	"20160405"	1	28.5	0.1	34.99	0
