"term" "estimate" "std.error" "statistic" "p.value" "info" "sample.ID" "N"
"1" "(Intercept)" -11.2683250939449 0.0536281896868868 -210.119438297957 3.559334483476e-21 "lm.ppm" 30 13
"2" "data.oxi$time.days" -0.0520088459573956 0.00242013001276026 -21.4901041196863 2.46896666171745e-10 "lm.ppm" 30 13
"3" "(Intercept)" -11.024010841833 0.057195960298006 -192.74107444643 4.34686562120081e-09 "lm.ppm.sel" 30 6
"4" "data.oxi.sel$time.days" -0.0587325041653636 0.00176060528863594 -33.3592682837319 4.81601620732987e-06 "lm.ppm.sel" 30 6
"5" "(Intercept)" 0.273347056153798 0.121536333626758 2.24909743446149 0.045962576089146 "lm.delta.low" 30 13
"6" "data.oxi$time.days" -0.101747972052524 0.00548468502047688 -18.551288118215 1.19549937487742e-09 "lm.delta.low" 30 13
"7" "(Intercept)" 0.0779052682384695 0.0346384585410914 2.2490974344615 0.0459625760891458 "lm.delta.high" 30 13
"8" "data.oxi$time.days" -0.0289986772384052 0.00156316246363142 -18.551288118215 1.19549937487741e-09 "lm.delta.high" 30 13
"9" "(Intercept)" 0.773882684486688 0.332844227813429 2.32505965198975 0.0806877458564409 "lm.delta.low.sel" 30 6
"10" "data.oxi.sel$time.days" -0.115418311055339 0.0102456065905182 -11.265151558928 0.000353773918485109 "lm.delta.low.sel" 30 6
"11" "(Intercept)" 0.220560407594514 0.0948622575793967 2.32505965198975 0.0806877458564408 "delta.high.sel" 30 6
"12" "data.oxi.sel$time.days" -0.0328947917307664 0.00292004875022709 -11.265151558928 0.000353773918485109 "delta.high.sel" 30 6
