"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"Timestamp.cor"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"cali.date"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"T.equil"	"V.hs.initial"	"sal"	"hs.removed"	"V.discarded"
"127"	39	1	"04/14/16 22:42:27"	1460670046.74556	-22.616	9999999	67.35	41.513	0.462	33.67	9999999	30	30	0.6	896	" Mtot = 494.79g."	"04/13/16"	"22:42:27"	1460583646.74556	10000032.67	41.975	15.216	1022.7	5	767.08808289729	38.9351201414319	0	9999999	"04/13.14/16"	478.57	"500x Peri"	"20160409"	2	0	0.1	34.81692308	0	0
"128"	40	1	"04/14/16 22:52:31"	1460670650.55953	-22.519	9999999	28.5	51.705	0.574	42.302	9999999	30	30	0.6	896	" Mtot = 494.79g."	"04/13/16"	"22:52:31"	1460584250.55953	10000041.302	52.279	17.184	1022.7	5	767.08808289729	38.9351201414319	0	9999999	"04/13.14/16"	478.57	"500x Peri"	"20160409"	2	0	0.1	34.81692308	0	0
"129"	41	1	"04/14/16 23:02:57"	1460671276.57344	-22.614	9999999	28.123	51.116	0.568	39.944	9999999	30	30	0.6	894	" Mtot = 494.79g."	"04/13/16"	"23:02:57"	1460584876.57344	10000038.944	51.684	17.676	1022.7	5	767.08808289729	38.8482113911162	0	9999999	"04/13.14/16"	478.57	"500x Peri"	"20160409"	2	0	0.1	34.81692308	0	0
"280"	22	1	"04/16/16 00:32:32"	1460766657.69698	-22.515	9999999	-6.894	85.251	0.942	68.617	9999999	30	30	1	870	" Mtot = 494.79. Pssim = 869.8."	"04/16/16"	"00:32:32"	1460766657.69698	10000067.617	86.193	24.574	1027.67	8	770.815889460309	22.5734838084133	0	9999999	"04/14.15.16/16"	478.57	"500x Peri"	"20160409"	2	0	0.1	34.81692308	1.8	0
"281"	23	1	"04/16/16 00:42:41"	1460767266.29022	-22.665	9999999	-13.263	85.526	0.944	62.025	9999999	30	30	1	870	" Mtot = 494.79. Pssim = 869.5."	"04/16/16"	"00:42:41"	1460767266.29022	10000061.025	86.47	24.514	1027.67	8	770.815889460309	22.5734838084133	0	9999999	"04/14.15.16/16"	478.57	"500x Peri"	"20160409"	2	0	0.1	34.81692308	1.8	0
"446"	18	1	"04/18/16 11:47:47"	1460979966.35962	-22.348	9999999	-27.129	90.69	0.996	59.925	9999999	30	30	1	834	" mtotal=494.79 from here 1mL syringe was used for further injections."	"04/18/16"	"11:47:47"	1460979966.35962	10000058.925	91.686	27.041	1025.71	10	769.345768562217	21.6807587454107	0	9999999	"04/18/16"	478.57	"500x Peri"	"20160409"	2	0	0.1	34.81692308	3.8	0
"447"	19	1	"04/18/16 11:58:32"	1460980612.18325	-22.411	9999999	-27.362	90.268	0.992	70.647	9999999	30	30	1	834	" mtotal=494.79. Pssim=834.1 Torr. "	"04/18/16"	"11:58:32"	1460980612.18325	10000069.647	91.26	26.016	1025.71	10	769.345768562217	21.6807587454107	0	9999999	"04/18/16"	478.57	"500x Peri"	"20160409"	2	0	0.1	34.81692308	3.8	0
"551"	17	1	"04/20/16 10:08:38"	1461146817.53795	-22.375	9999999	-19.403	88.492	0.973	71.202	9999999	30	30	1	835	" mtotal=494.79. Pssim=835.0 Torr."	"04/20/16"	"10:08:38"	1461146817.53795	10000070.202	89.465	27.582	1027.94	12	771.018406114638	21.6596645003012	0	9999999	"04/20/16"	478.57	"500x Peri"	"20160409"	2	0	0.1	34.81692308	5.8	0
"552"	18	1	"04/20/16 10:18:49"	1461147429.22913	-22.542	9999999	-0.063	87.671	0.965	64.9	9999999	30	30	1	835	" mtotal=494.79."	"04/20/16"	"10:18:49"	1461147429.22913	10000063.9	88.636	26.647	1027.94	12	771.018406114638	21.6596645003012	0	9999999	"04/20/16"	478.57	"500x Peri"	"20160409"	2	0	0.1	34.81692308	5.8	0
"654"	33	1	"05/20/16 17:38:31"	1463780215.25167	-2.735	0.849	-17.848	11.526	0.129	11.517	0.13	30	30	1	839	" mtotal=494.79. mtotal May=498.30.  Pssim=839 Torr."	"05/20/16"	"17:38:31"	1463780215.25167	11.647	11.655	47.219	1021.21	14	765.970490990067	21.9068491506908	0	0.849	"05/20/16"	478.57	"500x Peri"	"20160409"	2	1	0.1	34.81692308	7.8	0
"655"	34	1	"05/20/16 17:48:38"	1463780822.42037	-2.827	0.558	-17.269	11.417	0.128	11.409	0.128	30	30	1	839	" mtotal=494.79. mtotal May=498.30.  Pssim=839 Torr."	"05/20/16"	"17:48:38"	1463780822.42037	11.537	11.545	47.36	1021.21	14	765.970490990067	21.9068491506908	0	0.558	"05/20/16"	478.57	"500x Peri"	"20160409"	2	1	0.1	34.81692308	7.8	0
"697"	34	1	"05/25/16 14:54:34"	1464202378.83371	10.538	15.71	-14.457	6.031	0.069	6.03	0.069	30	30	1	827	" mtotal=494.79. Pssim=827 Torr."	"05/25/16"	"14:54:34"	1464202378.83371	6.099	6.1	49.162	1004.48	16	753.421959038496	21.953169537437	0	15.71	"05/25/16"	478.57	"500x Peri"	"20160409"	2	1	0.1	34.81692308	9.8	0
"698"	35	1	"05/25/16 15:05:02"	1464203006.66396	11.18	16.348	-17.051	5.962	0.068	5.961	0.068	30	30	1	828	" mtotal=494.79. Pssim=828 Torr."	"05/25/16"	"15:05:02"	1464203006.66396	6.029	6.03	50.057	1004.48	16	753.421959038496	21.979715087059	0	16.348	"05/25/16"	478.57	"500x Peri"	"20160409"	2	1	0.1	34.81692308	9.8	0
