"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"Timestamp.cor"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"cali.date"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"T.equil"	"V.hs.initial"	"sal"
"18"	8	1	"04/08/16 13:30:00"	1460121954.74192	-74.097	-47.052	-7.214	0.844	0.009	0.838	0.009	10	10	10	1200	"  Mtot = 695.33g"	"04/08/16"	"13:30:00"	1460121954.74192	0.847	0.853	235.554	1020	3	765.062916354	3.13699690404221	3.65041189787667	-50.7024118978767	"04/08/16"	679.03	"0.1x"	"20160407"	6.5	0	0.1	34.695
"19"	9	1	"04/08/16 13:45:14"	1460122868.17948	-107.057	-42.562	-3.404	0.819	0.008	0.824	0.009	10	10	10	1200	"  Mtot = 695.33g"	"04/08/16"	"13:45:14"	1460122868.17948	0.833	0.827	234.568	1020	3	765.062916354	3.13699690404221	3.68457935547135	-46.2465793554714	"04/08/16"	679.03	"0.1x"	"20160407"	6.5	0	0.1	34.695
"20"	10	1	"04/08/16 14:00:36"	1460123791.0373	-103.495	-42.921	-3.155	0.942	0.01	0.95	0.01	13	13	10	1200	"  Mtot = 815.18g"	"04/08/16"	"14:00:36"	1460123791.0373	0.96	0.952	243.588	1020	3	765.062916354	3.13699690404221	3.39368508876652	-46.3146850887665	"04/08/16"	799.06	"0.1x"	"20160407"	5	0	0.1	34.695
"21"	11	1	"04/08/16 14:16:06"	1460124721.06172	-101.697	-43.483	-4.108	0.926	0.01	0.936	0.01	13	13	10	1200	"  Mtot = 815.18g"	"04/08/16"	"14:16:06"	1460124721.06172	0.946	0.936	254.366	1020	3	765.062916354	3.13699690404221	3.42380105535703	-46.906801055357	"04/08/16"	799.06	"0.1x"	"20160407"	5	0	0.1	34.695
"22"	12	1	"04/08/16 14:31:34"	1460125648.28711	-96.084	-45.466	-4.027	0.966	0.01	0.975	0.011	16	16	10	1200	"  Mtot = 863.13g"	"04/08/16"	"14:31:34"	1460125648.28711	0.986	0.976	227.38	1020	3	765.062916354	3.13699690404221	3.33890279497798	-48.804902794978	"04/08/16"	846.95	"0.1x"	"20160407"	3.5	0	0.1	34.695
"23"	13	1	"04/08/16 14:47:59"	1460126632.6969	-85.875	-46.081	-5.806	0.988	0.01	0.995	0.011	19	19	10	1200	"  Mtot = 820.98g"	"04/08/16"	"14:47:59"	1460126632.6969	1.006	0.998	247.287	1020	3	765.062916354	3.13699690404221	3.29773675306103	-49.378736753061	"04/08/16"	804.88	"0.1x"	"20160407"	2	0	0.1	34.695
"24"	14	1	"04/08/16 15:03:27"	1460127560.82647	-91.706	-45.255	-4.957	0.943	0.01	0.956	0.01	19	19	10	1200	"  Mtot = 820.98g"	"04/08/16"	"15:03:27"	1460127560.82647	0.966	0.953	232.941	1020	3	765.062916354	3.13699690404221	3.38091246177772	-48.6359124617777	"04/08/16"	804.88	"0.1x"	"20160407"	2	0	0.1	34.695
"25"	15	1	"04/08/16 15:19:12"	1460128505.62002	-117.984	-42.397	-4.141	0.714	0.007	0.728	0.008	22	22	10	1200	"  Mtot = 850.97g"	"04/08/16"	"15:19:12"	1460128505.62002	0.736	0.721	226.766	1020	3	765.062916354	3.13699690404221	3.93837657851918	-46.3353765785192	"04/08/16"	834.78	"0.1x"	"20160407"	1	0	0.1	34.695
"26"	16	1	"04/08/16 15:34:18"	1460129412.73737	-121.122	-40.729	-4.278	0.693	0.007	0.71	0.008	22	22	10	1200	"  Mtot = 850.97g"	"04/08/16"	"15:34:18"	1460129412.73737	0.718	0.7	223.255	1020	3	765.062916354	3.13699690404221	3.98913570536452	-44.7181357053645	"04/08/16"	834.78	"0.1x"	"20160407"	1	0	0.1	34.695
"27"	17	1	"04/08/16 15:59:02"	1460130896.2147	-85.148	-76.2	-7.888	2.419	0.025	2.419	0.025	7	7	10	1200	"  Mtot = 622.79g"	"04/08/16"	"15:59:02"	1460130896.2147	2.444	2.444	325.499	1020	3	765.062916354	3.13699690404221	0	-76.2	"04/08/16"	606.57	"0.1x EL"	"20160407"	1.5	0	0.1	36.0333
"28"	18	1	"04/08/16 16:15:30"	1460131883.84084	-90.411	-75.876	-7.33	2.416	0.025	2.435	0.026	7	7	10	1200	"  Mtot = 622.79g"	"04/08/16"	"16:15:30"	1460131883.84084	2.461	2.441	352.446	1020	3	765.062916354	3.13699690404221	0	-75.876	"04/08/16"	606.57	"0.1x EL"	"20160407"	1.5	0	0.1	36.0333
"37"	27	1	"04/08/16 18:56:11"	1460141526.10873	-40.687	-42.05	-13.555	12.35	0.133	12.343	0.133	8	8	5	1200	"  Mtot = 923.13g"	"04/08/16"	"18:56:11"	1460141526.10873	12.476	12.483	138.734	1020	3	765.062916354	6.27399380808441	0	-42.05	"04/08/16"	908.2	"50x EL"	"20160407"	1.5	0	0.15	36.0333
"38"	28	1	"04/08/16 19:12:25"	1460142499.55818	-42.805	-41.635	-6.616	12.161	0.132	12.158	0.132	8	8	5	1200	"  Mtot = 923.13g"	"04/08/16"	"19:12:25"	1460142499.55818	12.29	12.293	146.892	1020	3	765.062916354	6.27399380808441	0	-41.635	"04/08/16"	908.2	"50x EL"	"20160407"	1.5	0	0.15	36.0333
"39"	29	1	"04/08/16 19:28:52"	1460143486.02915	-38.179	-38.082	-10.701	11.563	0.126	11.555	0.125	11	11	5	1200	"  Mtot = 820.85g"	"04/08/16"	"19:28:52"	1460143486.02915	11.68	11.689	117.953	1020	3	765.062916354	6.27399380808441	0	-38.082	"04/08/16"	804.73	"50x"	"20160407"	6.5	0	0.15	34.695
"40"	30	1	"04/08/16 19:44:21"	1460144414.17975	-39.468	-37.985	-6.708	11.347	0.124	11.347	0.124	11	11	5	1200	"  Mtot = 820.85g"	"04/08/16"	"19:44:21"	1460144414.17975	11.471	11.471	120.907	1020	3	765.062916354	6.27399380808441	0	-37.985	"04/08/16"	804.73	"50x"	"20160407"	6.5	0	0.15	34.695
