"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HR.Delta.iCH4.Std"	"HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Std"	"Delta.13CO2.Mean"	"Delta.13CO2.Std"	"HR.12CH4.Mean"	"HR.12CH4.Std"	"HR.13CH4.Mean"	"HR.13CH4.Std"	"HP.12CH4.Mean"	"HP.12CH4.Std"	"HP.13CH4.Mean"	"HP.13CH4.Std"	"X12CO2.Mean"	"X12CO2.Std"	"X13CO2.Mean"	"X13CO2.Std"	"H2O.Mean"	"H2O.Std"	"ChemDetect.Mean"	"SSIM.Pressure..torr."	"Valve.Position"	"Standard.Delta.iCH4"	"Standard.Delta.iCO2"	"Standard.13CH4"	"Standard.13CO2"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"nominal.conc"	"nominal.delta"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"
"30"	30	1	"07/07/16 15:27:51"	1467919576.17645	-72.869	9.325	-53.429	6.649	-6.864	1.134	0.79	0.006	0.008	0	0.771	0.002	0.008	0	221.149	0.275	2.472	0.004	0.083	0.002	0	NA	NA	NA	NA	NA	NA	32	54	10	837	" Mtot = 901.89. did not shake this bag before measurement."	"07/07/16"	"15:27:51"	0.779	0.798	223.621	NA	NA	1008.53	25	756.459708853431	2.21294006859571	3.82197567787835	-57.2509756778784
"31"	31	1	"07/07/16 15:38:19"	1467920203.34992	-67.993	7.752	-55.961	5.549	-7.24	0.813	1.132	0.008	0.012	0	1.115	0.002	0.012	0	335.595	0.37	3.753	0.005	0.135	0.003	0	NA	NA	NA	NA	NA	NA	32	54	15	836	" Mtot = 901.89. did not shake this bag before measurement."	"07/07/16"	"15:38:19"	1.127	1.144	339.348	NA	NA	1008.53	25	756.459708853431	1.4735307824341	3.06490356813184	-59.0259035681318
"32"	32	1	"07/07/16 15:49:58"	1467920903.09868	-68.662	5.78	-55.849	4.475	-7.364	0.782	1.414	0.007	0.015	0	1.393	0.003	0.015	0	345.792	0.355	3.867	0.006	0.148	0.003	0	NA	NA	NA	NA	NA	NA	29	55	15	837	" Mtot = 980.89. "	"07/07/16"	"15:49:58"	1.408	1.429	349.659	NA	NA	1008.53	25	756.459708853431	1.4752933790638	2.60855097164151	-58.4575509716415
"33"	33	1	"07/07/16 16:00:03"	1467921508.60728	-64.66	4.557	-54.424	3.481	-7.254	0.753	1.444	0.006	0.015	0	1.428	0.003	0.015	0	338.735	0.388	3.791	0.006	0.182	0.003	0	NA	NA	NA	NA	NA	NA	29	55	15	838	" Mtot = 980.89. "	"07/07/16"	"16:00:03"	1.443	1.459	342.526	NA	NA	1008.53	25	756.459708853431	1.47705597569351	2.55821522642695	-56.9822152264269
"34"	34	1	"07/07/16 16:11:15"	1467922179.92407	-59.19	3.66	-54.37	3.292	-7.284	0.854	1.527	0.006	0.016	0	1.523	0.003	0.016	0	318.114	0.338	3.566	0.005	0.277	0.003	0	NA	NA	NA	NA	NA	NA	32	54	15	838	" Mtot = 901.89. sample shaken before measurement."	"07/07/16"	"16:11:15"	1.539	1.543	321.68	NA	NA	1008.53	25	756.459708853431	1.47705597569351	2.42617764754368	-56.7961776475437
"35"	35	1	"07/07/16 16:21:57"	1467922822.02245	-52.677	4.915	-54.008	3.25	-9.118	0.837	1.447	0.007	0.015	0	1.46	0.003	0.016	0	318.569	0.394	3.572	0.005	0.402	0.003	0	NA	NA	NA	NA	NA	NA	32	54	15	838	" Mtot = 901.89. sample shaken before measurement."	"07/07/16"	"16:21:57"	1.476	1.462	322.141	NA	NA	1008.53	25	756.459708853431	1.47705597569351	2.51186176133452	-56.5198617613345
"321"	9	1	"07/20/16 09:18:47"	1469020630.87263	-43.42	4.722	-42.09	3.047	-14.874	1.495	1.564	0.008	0.017	0	1.557	0.003	0.017	0	163.564	0.275	1.812	0.004	0.029	0.002	0	NA	NA	NA	NA	NA	NA	15	51	3	876	" Mtot = 816.43."	"07/20/16"	"09:18:47"	1.574	1.581	165.376	NA	NA	1021.91	34	766.495534167957	7.61909200989594	2.38007869250982	-44.4700786925098
"322"	10	1	"07/20/16 09:28:59"	1469021243.26048	-44.371	4.752	-42.748	3.693	-14.496	1.481	1.53	0.007	0.016	0	1.523	0.003	0.016	0	141.774	0.268	1.571	0.004	0.029	0.002	0	NA	NA	NA	NA	NA	NA	15	51	3	876	" Mtot = 816.43."	"07/20/16"	"09:28:59"	1.539	1.546	143.345	NA	NA	1021.91	34	766.495534167957	7.61909200989594	2.42617764754368	-45.1741776475437
"323"	11	1	"07/20/16 09:39:13"	1469021857.52642	-43.182	4.2	-42.42	2.627	-12.945	1.352	1.753	0.007	0.019	0	1.746	0.003	0.019	0	176.79	0.251	1.962	0.004	0.028	0.002	0	NA	NA	NA	NA	NA	NA	36	52	3	876	" Mtot = 761.46. 0.5 mM BES"	"07/20/16"	"09:39:13"	1.765	1.772	178.752	NA	NA	1021.91	34	766.495534167957	7.61909200989594	2.14529108471022	-44.5652910847102
"324"	12	1	"07/20/16 09:49:40"	1469022484.31883	-43.454	4.302	-41.945	2.627	-12.93	1.337	1.751	0.008	0.019	0	1.743	0.003	0.019	0	178.018	0.264	1.975	0.004	0.026	0.002	0	NA	NA	NA	NA	NA	NA	36	52	5	876	" Mtot = 761.46. 0.5 mM BES"	"07/20/16"	"09:49:40"	1.762	1.77	179.993	NA	NA	1021.91	34	766.495534167957	4.57145520593756	2.14877846859633	-44.0937784685963
"474"	27	1	"08/02/16 12:16:15"	1470154478.81838	69.667	11.181	82.715	7.361	-9.757	0.781	0.628	0.006	0.008	0	0.626	0.002	0.008	0	369.186	0.337	4.111	0.005	0.04	0.002	0	NA	NA	NA	NA	NA	NA	12	57	7	869	" Mtot = 882.95. "	"08/02/16"	"12:16:15"	0.634	0.636	373.297	NA	NA	1017.88	38	763.472785586676	3.25205716527176	4.24419796531707	78.4708020346829
"475"	28	1	"08/02/16 12:26:24"	1470155088.64249	89.13	9.762	102.616	7.002	-9.084	0.557	0.792	0.007	0.01	0	0.79	0.002	0.01	0	516.654	0.434	5.758	0.005	0.047	0.002	0	NA	NA	NA	NA	NA	NA	12	57	10	869	" Mtot = 882.95. "	"08/02/16"	"12:26:24"	0.8	0.802	522.412	NA	NA	1017.88	38	763.472785586676	2.27644001569023	3.76744428019413	98.8485557198059
"484"	5	1	"08/04/16 08:58:24"	1470315408.43938	75.719	10.838	89.864	8.582	-9.197	0.5	0.617	0.005	0.007	0	0.614	0.001	0.008	0	551.28	0.434	6.144	0.005	0.053	0.003	0	NA	NA	NA	NA	NA	NA	12	57	10	874	" Mtot = 882.95. final measurement."	"08/04/16"	"08:58:24"	0.622	0.624	557.424	NA	NA	1020.45	40	765.400444111215	2.28377186536622	4.28337113179806	85.5806288682019
"485"	6	1	"08/04/16 09:09:00"	1470316044.79778	66.988	10.071	78.718	7.416	-9.585	0.436	0.654	0.006	0.008	0	0.652	0.001	0.008	0	567.47	0.441	6.322	0.006	0.058	0.003	0	NA	NA	NA	NA	NA	NA	12	57	10	873	" Mtot = 882.95. final measurement."	"08/04/16"	"09:09:00"	0.66	0.662	573.792	NA	NA	1020.45	40	765.400444111215	2.28115885407861	4.16180666012141	74.5561933398786
"11"	11	1	"07/07/16 12:01:39"	1467907203.27771	-41.341	1.526	-39.87	1.039	-3.473	2.217	4.649	0.01	0.05	0	4.635	0.008	0.05	0	105.391	0.199	1.182	0.004	0.072	0.003	0	NA	NA	NA	NA	NA	NA	8	50	5	844	" Bag 8. ID 50. Mtot = 951.33.  "	"07/07/16"	"12:01:39"	4.685	4.699	106.573	NA	NA	1008.53	25	756.459708853431	4.46289466641524	0	-39.87
"12"	12	1	"07/07/16 12:12:27"	1467907851.06824	-40.781	1.764	-39.563	1.408	-3.932	2.384	4.226	0.009	0.046	0	4.214	0.008	0.046	0	125.361	0.206	1.405	0.004	0.056	0.003	0	NA	NA	NA	NA	NA	NA	8	50	5	841	" Bag 8. ID 50. Mtot = 951.33."	"07/07/16"	"12:12:27"	4.26	4.272	126.766	NA	NA	1008.53	25	756.459708853431	4.44703129674788	0	-39.563
"13"	13	1	"07/07/16 12:23:15"	1467908499.60859	-40.75	2.181	-39.674	1.277	-3.885	1.837	4.249	0.012	0.046	0	4.237	0.008	0.046	0	137.123	0.252	1.536	0.003	0.053	0.003	0	NA	NA	NA	NA	NA	NA	8	50	5	841	" Bag 8. ID 50. Mtot = 951.33."	"07/07/16"	"12:23:15"	4.283	4.295	138.659	NA	NA	1008.53	25	756.459708853431	4.44703129674788	0	-39.674
"14"	14	1	"07/07/16 12:36:30"	1467909294.758	-40.231	2.551	-39.479	1.767	-7.809	1.564	2.865	0.008	0.031	0	2.857	0.005	0.031	0	162.385	0.254	1.812	0.004	0.047	0.003	0	NA	NA	NA	NA	NA	NA	15	51	5	841	" Mtot = 816.43."	"07/07/16"	"12:36:30"	2.888	2.896	164.197	NA	NA	1008.53	25	756.459708853431	4.44703129674788	0	-39.479
"15"	15	1	"07/07/16 12:47:43"	1467909967.31598	-40.597	2.374	-39.339	1.561	-7.877	1.404	3.09	0.008	0.033	0	3.081	0.006	0.033	0	179.65	0.25	2.005	0.004	0.071	0.003	0	NA	NA	NA	NA	NA	NA	15	51	5	842	" Mtot = 816.43."	"07/07/16"	"12:47:43"	3.114	3.123	181.655	NA	NA	1008.53	25	756.459708853431	4.452319086637	0	-39.339
"16"	16	1	"07/07/16 12:57:59"	1467910583.06264	-40.291	2.557	-39.601	1.611	-8.354	1.675	2.855	0.008	0.031	0	2.849	0.005	0.031	0	159.24	0.244	1.777	0.004	0.074	0.003	0	NA	NA	NA	NA	NA	NA	15	51	5	842	" Mtot = 816.43."	"07/07/16"	"12:57:59"	2.88	2.886	161.017	NA	NA	1008.53	25	756.459708853431	4.452319086637	0	-39.601
"17"	17	1	"07/07/16 13:09:00"	1467911244.13486	-36.575	2.125	-37.67	1.418	-9.456	1.772	3.702	0.009	0.04	0	3.705	0.007	0.04	0	166.503	0.255	1.858	0.004	0.142	0.003	0	NA	NA	NA	NA	NA	NA	36	52	5	842	" Mtot = 761.46."	"07/07/16"	"13:09:00"	3.745	3.742	168.361	NA	NA	1008.53	25	756.459708853431	4.452319086637	0	-37.67
"19"	19	1	"07/07/16 13:29:03"	1467912447.63698	-37.681	2.245	-38.879	1.654	-8.187	1.444	3.3	0.009	0.036	0	3.301	0.006	0.036	0	159.172	0.238	1.777	0.003	0.113	0.003	0	NA	NA	NA	NA	NA	NA	36	52	5	842	" Mtot = 761.46. "	"07/07/16"	"13:29:03"	3.337	3.336	160.949	NA	NA	1008.53	25	756.459708853431	4.452319086637	0	-38.879
