"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"	"hs.removed"
"88"	14	1	"07/08/16 10:35:58"	1467988462.39902	-36.426	-37.703	-20.435	4.408	0.048	4.408	0.048	45	65	5	865	" Mtot = 901.14."	"07/08/16"	"10:35:58"	4.456	4.456	35.234	1008.41	26	756.369701451507	4.57448254915567	0	-37.703	885.07	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	0
"89"	15	1	"07/08/16 10:46:33"	1467989097.71685	-36.498	-38.037	-19.611	4.288	0.046	4.289	0.046	45	65	5	865	" Mtot = 901.14."	"07/08/16"	"10:46:33"	4.335	4.334	33.778	1008.41	26	756.369701451507	4.57448254915567	0	-38.037	885.07	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	0
"90"	16	1	"07/08/16 10:57:21"	1467989746.02754	-36.634	-38.072	-21.467	4.286	0.046	4.287	0.046	45	65	5	866	" Mtot = 901.14."	"07/08/16"	"10:57:21"	4.333	4.332	32.887	1008.41	26	756.369701451507	4.57977096828764	0	-38.072	885.07	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	0
"187"	11	1	"07/11/16 10:51:03"	1468248567.39813	5.919	-56.856	-1303.409	4.082	0.047	4.383	0.047	45	65	5	872	" Mtot = 901.14. (didnt need to run that)"	"07/11/16"	"10:51:03"	4.43	4.129	27.318	1014.9	28	761.23760177223	4.58201222834976	0	-56.856	885.07	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	15
"277"	13	1	"07/14/16 12:17:24"	1468512949.29833	-36.103	-37.628	-112.283	3.452	0.038	3.462	0.038	45	65	5	868	" Mtot = 901.14. 31 mM NaOH"	"07/14/16"	"12:17:24"	3.5	3.49	12.354	1014	31	760.5625462578	4.56504204300264	0	-37.628	885.07	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	20
"278"	14	1	"07/14/16 12:27:28"	1468513552.43547	-35.689	-37.593	-134.753	3.419	0.037	3.43	0.037	45	65	5	868	" Mtot = 901.14. 31 mM NaOH"	"07/14/16"	"12:27:28"	3.467	3.456	9.298	1014	31	760.5625462578	4.56504204300264	0	-37.593	885.07	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	20
"368"	14	1	"07/21/16 10:48:02"	1469112387.43973	-37.124	-38.338	-71.048	3.468	0.038	3.466	0.037	45	65	5	868	" Mtot = 901.14. 93 mM NaOH. NaOH concentration tripled compared to last time. added more because bags seemed not to be constant i.e. dead."	"07/21/16"	"10:48:02"	3.503	3.506	14.233	1019.79	35	764.905403400633	4.53912337991614	0	-38.338	885.07	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	30
"369"	15	1	"07/21/16 10:58:16"	1469113000.73125	-37.378	-38.201	-76.799	3.372	0.036	3.37	0.036	45	65	5	868	" Mtot = 901.14. 93 mM NaOH. NaOH concentration tripled compared to last time. added more because bags seemed not to be constant i.e. dead."	"07/21/16"	"10:58:16"	3.406	3.408	12.687	1019.79	35	764.905403400633	4.53912337991614	0	-38.201	885.07	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	30
"422"	22	1	"08/01/16 15:34:42"	1470079983.65788	-37.894	-39.147	-80.878	3.262	0.035	3.261	0.035	45	65	5	870	" Mtot = 901.14. 93 mM NaOH. "	"08/01/16"	"15:34:42"	3.296	3.297	9.66	1017.29	37	763.030249193883	4.56076283171802	0	-39.147	885.07	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	40
"423"	23	1	"08/01/16 15:45:36"	1470080639.32939	-38.612	-39.883	-86.515	3.279	0.035	3.278	0.035	45	65	5	870	" Mtot = 901.14. 93 mM NaOH. "	"08/01/16"	"15:45:36"	3.313	3.314	8.771	1017.29	37	763.030249193883	4.56076283171802	0	-39.883	885.07	"Bcubi 1x"	"20160706"	1	"0.11"	"34.8"	"0"	40
