"Date" "Run.Num" "Sample.Bag" "Date.Time" "Timestamp" "HR.Delta.iCH4.Mean" "HP.Delta.iCH4.Mean" "Delta.13CO2.Mean" "HR.12CH4.Mean" "HR.13CH4.Mean" "HP.12CH4.Mean" "HP.13CH4.Mean" "bag.." "sample.ID" "vol.mL" "Pssim" "description" "Time" "HP.CH4.Mean" "HR.CH4.Mean" "XCO2.Mean" "Patm.mbar" "Date.ID" "Patm.torr" "SSIM.dil.factor" "delta.HP.Delta.iCH4.Mean" "HP.Delta.iCH4.Mean.corr" "m.water" "treatment" "sample.date" "sample.depth" "V.hs.initial" "sal" "T.equil" "hs.removed" "Date.ID.ppm" "b.ppm" "b.sd.ppm" "m.ppm" "m.sd.ppm" "covar.mb.ppm" "r.sqrd.ppm" "Date.ID.delta" "b.delta" "b.sd.delta" "m.delta" "m.sd.delta" "covar.mb.delta" "r.sqrd.delta" "time.days" "calibrated.ppm" "hs.ppm" "calibrated.delta" "rho.sw" "V.sw" "V.hs" "V.gas" "bunsen.coeff" "n.CH4.hs" "n.CH4.water" "n.CH4.total" "c.CH4.water" "c.CH4.init.water" "V.discarded" "V.sampled" "V.leftover" "n.CH4.total.corr" "yaxis.low.x" "yaxis.high.x" "n.CH4.total.corr.log"
"1" "07/08/16" 43 1 "07/08/16 17:42:01" 1468014024.93803 -22.543 9999999 -90.348 85.748 0.942 66.652 9999999 19 70 1 863 " Mtot = 908.21." "17:42:01" 10000065.652 86.69 16.55 1008.41 26 756.369701451507 22.8195285544586 0 9999999 892.11 "Bcubi 500x" 20160706 1 0.1 34.8 0 0 28 -9.3481865657843 1.29745848262422 1.20769219804516 0.0190644515846789 -0.0223865797816793 0.998010421060033 26 1.95411875071051 0.96254484976699 1.15123649743079 0.0307000394601658 0.0290255202611669 0.995046749480747 0 95.3466500827506 2175.7656041353 -23.9982056108718 1027.94483391548 0.867857856342268 0.1 0.1 0.0446309363532432 9.7068739349241e-06 3.7597934511946e-06 1.34666673861187e-05 4332.26872778553 15517.1348484143 0 1 0.1 1.34666673861187e-05 0 0 -11.2152930082406
"2" "07/08/16" 44 1 "07/08/16 17:53:24" 1468014708.56386 -22.504 9999999 -94.753 84.389 0.928 65.062 9999999 19 70 1 862 " Mtot = 908.21." "17:53:24" 10000064.062 85.317 16.841 1008.41 26 756.369701451507 22.7930864587988 0 9999999 892.11 "Bcubi 500x" 20160706 1 0.1 34.8 0 0 28 -9.3481865657843 1.29745848262422 1.20769219804516 0.0190644515846789 -0.0223865797816793 0.998010421060033 26 1.95411875071051 0.96254484976699 1.15123649743079 0.0307000394601658 0.0290255202611669 0.995046749480747 0.00791233599461891 93.6884886948346 2135.44982301556 -23.953307387472 1027.94483391548 0.867857856342268 0.1 0.1 0.0446309363532432 9.52701071612263e-06 3.6901264753284e-06 1.3217137191451e-05 4251.99408907935 15229.6105806507 0 1 0.1 1.3217137191451e-05 -0.00661759191105291 -0.00188604655260393 -11.2339962983188
"3" "07/11/16" 34 1 "07/11/16 15:33:52" 1468265537.07014 -22.693 9999999 -143.942 77.984 0.858 62.422 9999999 19 70 1 867 " Mtot = 908.21." "15:33:52" 10000061.422 78.842 26.842 1014.9 28 761.23760177223 22.7786961122663 0 9999999 892.11 "Bcubi 500x" 20160706 1 0.1 34.8 0 2.2 28 -9.3481865657843 1.29745848262422 1.20769219804516 0.0190644515846789 -0.0223865797816793 0.998010421060033 28 0.165943509374074 1.05872079688548 1.06422391280038 0.0324019154895343 0.033685847192576 0.992638666073289 2.91102004756806 85.8686817124922 1955.97660628978 -23.984489743805 1027.94483391548 0.867857856342268 0.0978 0.0978 0.0446309363532432 8.53433710791795e-06 3.37999094251737e-06 1.19143280504353e-05 3894.63656728638 13728.4325576659 0 1 0.0978 1.21066668969458e-05 -0.00202162700441778 -0.000576173734128991 -11.3217542738784
"4" "07/11/16" 35 1 "07/11/16 15:44:12" 1468266156.44436 -22.67 9999999 -143.131 77.363 0.852 53.392 9999999 19 70 1 867 " Mtot = 908.21." "15:44:12" 10000052.392 78.215 26.977 1014.9 28 761.23760177223 22.7786961122663 0 9999999 892.11 "Bcubi 500x" 20160706 1 0.1 34.8 0 2.2 28 -9.3481865657843 1.29745848262422 1.20769219804516 0.0190644515846789 -0.0223865797816793 0.998010421060033 28 0.165943509374074 1.05872079688548 1.06422391280038 0.0324019154895343 0.033685847192576 0.992638666073289 2.91818873067145 85.1114587043179 1938.72805349736 -23.9600125938105 1027.94483391548 0.867857856342268 0.0978 0.0978 0.0446309363532432 8.45907804618845e-06 3.35018488449887e-06 1.18092629306873e-05 3860.29216652918 13607.3699677726 0 1 0.0978 1.20016017771978e-05 -0.00562932449853806 -0.00160438543304905 -11.330470435651
"5" "07/14/16" 34 1 "07/14/16 16:43:36" 1468528920.6099 -22.725 9999999 -36.873 73.02 0.803 52.75 9999999 19 70 1 865 " Mtot = 908.21. tried to fasten the valve on the syringe and accidentally loosened it a bit." "16:43:36" 10000051.75 73.823 24.474 1014 31 760.5625462578 22.7463212396157 0 9999999 892.11 "Bcubi 500x" 20160706 1 0.1 34.8 0 4.4 31 -12.083377468516 2.5568279625368 1.26513341646946 0.0336674948262986 -0.0791023195625655 0.995067133389268 31 0.186500690654488 0.330419323702415 1.06626041219456 0.0107170355533465 0.00345627598609814 0.999293334639789 5.95944064664344 81.3125667355089 1849.56176378358 -24.0442671764669 1027.94483391548 0.867857856342268 0.0956 0.0956 0.0446309363532432 7.88849243537173e-06 3.19610264719535e-06 1.10845950825671e-05 3682.74899378783 12772.3624341951 0 1 0.0956 1.14506907302443e-05 0.00678937439046624 0.00193500541217853 -11.377460503998
"6" "07/14/16" 35 1 "07/14/16 16:53:55" 1468529541.04545 -22.646 9999999 -35.824 74.029 0.815 59.618 9999999 19 70 1 865 " Mtot = 908.21." "16:53:55" 10000058.618 74.844 26.091 1014 31 760.5625462578 22.7463212396157 0 9999999 892.11 "Bcubi 500x" 20160706 1 0.1 34.8 0 4.4 31 -12.083377468516 2.5568279625368 1.26513341646946 0.0336674948262986 -0.0791023195625655 0.995067133389268 31 0.186500690654488 0.330419323702415 1.06626041219456 0.0107170355533465 0.00345627598609814 0.999293334639789 5.96662161365703 82.6042679537243 1878.9432146387 -23.9600326039035 1027.94483391548 0.867857856342268 0.0956 0.0956 0.0446309363532432 8.01380609472031e-06 3.24687474612997e-06 1.12606808408503e-05 3741.25177573948 12975.2594374271 0 1 0.0956 1.16267764885275e-05 -0.00562637523942919 -0.00160354487955923 -11.3621998019486
"7" "07/21/16" 36 1 "07/21/16 16:28:38" 1469132823.31676 -22.67 9999999 -55.162 73.676 0.809 57.006 9999999 19 70 1 866 " Mtot = 908.21." "16:28:38" 10000056.006 74.485 26.163 1019.79 35 764.905403400633 22.643322851425 0 9999999 892.11 "Bcubi 500x" 20160706 1 0.1 34.8 0 6.6 35 -14.5711109583483 2.1493812310889 1.27724744431875 0.025471886841425 -0.0512351335600907 0.998015370771586 35 0.164444575651027 0.611119276773735 1.07650774903263 0.0211789192978572 0.0125983289896725 0.998068460444267 12.9490553093757 80.5646649317338 1824.25171846613 -24.2399860949187 1027.94483391548 0.867857856342268 0.0934 0.0934 0.0446309363532432 7.6014934003651e-06 3.15236606892923e-06 1.07538594692943e-05 3632.35297795817 12391.2682136891 0 1 0.0934 1.12862971518051e-05 0.0356414903332018 0.0101580017136333 -11.3919212095237
"8" "07/21/16" 37 1 "07/21/16 16:38:45" 1469133429.27403 -22.631 9999999 -55.656 73.657 0.809 58.257 9999999 19 70 1 866 " Mtot = 908.21." "16:38:45" 10000057.257 74.466 27.067 1019.79 35 764.905403400633 22.643322851425 0 9999999 892.11 "Bcubi 500x" 20160706 1 0.1 34.8 0 6.6 35 -14.5711109583483 2.1493812310889 1.27724744431875 0.025471886841425 -0.0512351335600907 0.998015370771586 35 0.164444575651027 0.611119276773735 1.07650774903263 0.0211789192978572 0.0125983289896725 0.998068460444267 12.9560687037033 80.5403972302917 1823.70221706751 -24.1980022927064 1027.94483391548 0.867857856342268 0.0934 0.0934 0.0446309363532432 7.59920367728973e-06 3.15141651271049e-06 1.07506201900002e-05 3631.25884000481 12387.5357138674 0 1 0.0934 1.1283057872511e-05 0.0294519152159083 0.00839394207245833 -11.3922082606435
"9" "08/02/16" 12 1 "08/02/16 09:41:20" 1470145184.52201 -22.531 9999999 -36.936 72.314 0.795 61.621 9999999 19 70 1 872 " Mtot = 908.21." "09:41:20" 10000060.621 73.109 35.599 1017.88 38 763.472785586676 22.8429884198146 0 9999999 892.11 "Bcubi 500x" 20160706 1 0.1 34.8 0 8.8 38 -11.6811744465489 1.63178278809029 1.23313150754204 0.0211278368381802 -0.0316589980690257 0.997949320421941 38 -1.04471191598216 0.139497788789076 1.0230570874346 0.00450572178023549 0.000612291851702979 0.999864241171196 24.6661988886584 78.4718369383421 1792.53126246413 -24.0952111529711 1027.94483391548 0.867857856342268 0.0912 0.0912 0.0446309363532432 7.29338029792555e-06 3.09755209332518e-06 1.03909323912507e-05 3569.19289338501 11973.0809778516 0 1 0.0912 1.10861184364773e-05 0.0142987787008554 0.00407522292665881 -11.4098168235962
"10" "08/02/16" 13 1 "08/02/16 09:53:15" 1470145900.02866 -22.57 9999999 -36.544 70.891 0.779 60.543 9999999 19 70 1 871 " Mtot = 908.21." "09:53:15" 10000059.543 71.67 34.981 1017.88 38 763.472785586676 22.8167923321772 0 9999999 892.11 "Bcubi 500x" 20160706 1 0.1 34.8 0 8.8 38 -11.6811744465489 1.63178278809029 1.23313150754204 0.0211278368381802 -0.0316589980690257 0.997949320421941 38 -1.04471191598216 0.139497788789076 1.0230570874346 0.00450572178023549 0.000612291851702979 0.999864241171196 24.6744802156256 76.6973606989891 1749.98775149492 -24.1351103793811 1027.94483391548 0.867857856342268 0.0912 0.0912 0.0446309363532432 7.12028094328398e-06 3.0240355281084e-06 1.01443164713924e-05 3484.48251751007 11688.9147194534 0 1 0.0912 1.0839502516619e-05 0.0201804037487904 0.00575151526901961 -11.4323134563067
