"term" "estimate" "std.error" "statistic" "p.value" "info" "sample.ID" "N"
"1" "(Intercept)" -11.2440311684944 0.0395693223895806 -284.160316363041 2.42816842065256e-24 "lm.ppm" 70 14
"2" "data.oxi$time.days" -0.0112605243543033 0.00165550811629517 -6.80185391026832 1.89789128838003e-05 "lm.ppm" 70 14
"3" "(Intercept)" -11.2234630790336 0.0739770012342965 -151.715572296411 3.98504694760956e-15 "lm.ppm.sel" 70 10
"4" "data.oxi.sel$time.days" -0.0118562446854349 0.00261858800936315 -4.52772434725934 0.00193014875546159 "lm.ppm.sel" 70 10
"5" "(Intercept)" 0.0686010748222294 0.0401126672781745 1.71020975360458 0.112932308829642 "lm.delta.low" 70 14
"6" "data.oxi$time.days" -0.00828143644815961 0.00167824067320273 -4.93459405459137 0.000345212955760397 "lm.delta.low" 70 14
"7" "(Intercept)" 0.019551646945362 0.0114323093434319 1.71020975360458 0.112932308829642 "lm.delta.high" 70 14
"8" "data.oxi$time.days" -0.00236025050707226 0.000478306924736023 -4.93459405459137 0.000345212955760398 "lm.delta.high" 70 14
"9" "(Intercept)" 0.162321492510302 0.0642106615184341 2.52795234734813 0.0353680310512787 "lm.delta.low.sel" 70 10
"10" "data.oxi.sel$time.days" -0.0111244618856565 0.0022728857012319 -4.89442204666388 0.00120221654512494 "lm.delta.low.sel" 70 10
"11" "(Intercept)" 0.0462624313311378 0.0183003573543101 2.52795234734813 0.0353680310512787 "delta.high.sel" 70 10
"12" "data.oxi.sel$time.days" -0.00317052687307186 0.000647783710281574 -4.89442204666388 0.00120221654512494 "delta.high.sel" 70 10
