"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"	"hs.removed"
"119"	45	1	"07/08/16 18:04:52"	1468015395.44567	-22.54	9999999	-96.02	91.095	1.001	66.498	9999999	40	71	1	862	" Mtot = 882.03."	"07/08/16"	"18:04:52"	10000065.498	92.096	17.33	1008.41	26	756.369701451507	22.7930864587988	0	9999999	865.75	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	0
"120"	46	1	"07/08/16 18:16:03"	1468016067.22105	-22.477	9999999	-92.38	87.898	0.966	56.411	9999999	40	71	1	862	" Mtot = 882.03."	"07/08/16"	"18:16:03"	10000055.411	88.864	18.114	1008.41	26	756.369701451507	22.7930864587988	0	9999999	865.75	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	0
"121"	47	1	"07/08/16 18:25:56"	1468016659.90274	-22.456	9999999	-95.251	87.102	0.958	60.786	9999999	40	71	1	862	" Mtot = 882.03."	"07/08/16"	"18:25:56"	10000059.786	88.06	18.438	1008.41	26	756.369701451507	22.7930864587988	0	9999999	865.75	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	0
"212"	36	1	"07/11/16 15:55:27"	1468266830.90714	-22.678	9999999	-138.301	77.642	0.855	58.06	9999999	40	71	1	867	" Mtot = 882.03."	"07/11/16"	"15:55:27"	10000057.06	78.497	25.193	1014.9	28	761.23760177223	22.7786961122663	0	9999999	865.75	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	3.3
"213"	37	1	"07/11/16 16:06:14"	1468267478.95297	-22.699	9999999	-165.733	77.989	0.858	56.072	9999999	40	71	1	867	" Mtot = 882.03."	"07/11/16"	"16:06:14"	10000055.072	78.847	27.975	1014.9	28	761.23760177223	22.7786961122663	0	9999999	865.75	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	3.3
"300"	36	1	"07/14/16 17:03:49"	1468530133.32028	-22.742	9999999	-35.36	74.889	0.824	59.051	9999999	40	71	1	864	" Mtot = 882.03."	"07/14/16"	"17:03:49"	10000058.051	75.713	24.637	1014	31	760.5625462578	22.7200249144832	0	9999999	865.75	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	5.5
"301"	37	1	"07/14/16 17:13:51"	1468530734.76029	-22.755	9999999	-36.766	74.146	0.816	51.276	9999999	40	71	1	864	" Mtot = 882.03."	"07/14/16"	"17:13:51"	10000050.276	74.962	25.432	1014	31	760.5625462578	22.7200249144832	0	9999999	865.75	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	5.5
"392"	38	1	"07/21/16 16:49:59"	1469134103.68626	-22.745	9999999	-50.116	72.341	0.795	60.054	9999999	40	71	1	866	" Mtot = 882.03."	"07/21/16"	"16:49:59"	10000059.054	73.136	29.226	1019.79	35	764.905403400633	22.643322851425	0	9999999	865.75	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	7.7
"393"	39	1	"07/21/16 17:00:08"	1469134712.98717	-22.692	9999999	-50.884	72.036	0.791	59.493	9999999	40	71	1	866	" Mtot = 882.03."	"07/21/16"	"17:00:08"	10000058.493	72.827	29.258	1019.79	35	764.905403400633	22.643322851425	0	9999999	865.75	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	7.7
"461"	14	1	"08/02/16 10:03:41"	1470146525.75197	-22.536	9999999	-34.445	70.946	0.78	60.977	9999999	40	71	1	872	" Mtot = 882.03."	"08/02/16"	"10:03:41"	10000059.977	71.726	32.848	1017.88	38	763.472785586676	22.8429884198146	0	9999999	865.75	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	9.9
