"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"	"hs.removed"
"122"	48	1	"07/08/16 18:36:11"	1468017274.84465	-22.474	9999999	-100.033	81.43	0.895	53.466	9999999	47	72	1	862	" Mtot = 921.89."	"07/08/16"	"18:36:11"	10000052.466	82.325	12.935	1008.41	26	756.369701451507	22.7930864587988	0	9999999	905.675	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	0
"123"	49	1	"07/08/16 18:46:47"	1468017911.61737	-22.517	9999999	-96.569	81.338	0.894	63.881	9999999	47	72	1	862	" Mtot = 921.89."	"07/08/16"	"18:46:47"	10000062.881	82.232	16.461	1008.41	26	756.369701451507	22.7930864587988	0	9999999	905.675	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	0
"214"	38	1	"07/11/16 16:17:28"	1468268151.97148	-22.71	9999999	-161.857	72.53	0.798	57.194	9999999	47	72	1	867	" Mtot = 921.89."	"07/11/16"	"16:17:28"	10000056.194	73.328	26.285	1014.9	28	761.23760177223	22.7786961122663	0	9999999	905.675	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	5.2
"215"	39	1	"07/11/16 16:29:03"	1468268847.85884	-22.753	9999999	-158.858	73.587	0.81	59.619	9999999	47	72	1	867	" Mtot = 921.89."	"07/11/16"	"16:29:03"	10000058.619	74.397	25.492	1014.9	28	761.23760177223	22.7786961122663	0	9999999	905.675	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	5.2
"302"	38	1	"07/14/16 17:24:14"	1468531357.73916	-22.681	9999999	-35.173	71.617	0.788	53.451	9999999	47	72	1	864	" Mtot = 921.89. 0.5 mM BES"	"07/14/16"	"17:24:14"	10000052.451	72.405	25.28	1014	31	760.5625462578	22.7200249144832	0	9999999	905.675	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	7.4
"303"	39	1	"07/14/16 17:34:41"	1468531985.41954	-22.664	9999999	-34.331	70.633	0.777	52.532	9999999	47	72	1	864	" Mtot = 921.89. 0.5 mM BES"	"07/14/16"	"17:34:41"	10000051.532	71.41	25.028	1014	31	760.5625462578	22.7200249144832	0	9999999	905.675	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	7.4
"394"	40	1	"07/21/16 17:10:58"	1469135362.60912	-22.735	9999999	-50.64	70.347	0.773	54.653	9999999	47	72	1	866	" Mtot = 921.89. 0.5 mM BES"	"07/21/16"	"17:10:58"	10000053.653	71.12	29.468	1019.79	35	764.905403400633	22.643322851425	0	9999999	905.675	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	9.6
"395"	41	1	"07/21/16 17:20:46"	1469135950.10859	-22.692	9999999	-53.446	70.654	0.776	57.438	9999999	47	72	1	866	" Mtot = 921.89. 0.5 mM BES"	"07/21/16"	"17:20:46"	10000056.438	71.43	27.542	1019.79	35	764.905403400633	22.643322851425	0	9999999	905.675	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	9.6
"463"	16	1	"08/02/16 10:24:05"	1470147749.81669	-22.484	9999999	-39.037	71.545	0.786	64.945	9999999	47	72	1	871	" Mtot = 921.89. 0.5 mM BES"	"08/02/16"	"10:24:05"	10000063.945	72.331	31.383	1017.88	38	763.472785586676	22.8167923321772	0	9999999	905.675	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	11.8
"465"	18	1	"08/02/16 10:44:49"	1470148993.94479	-22.51	9999999	-36.902	71.299	0.784	60.695	9999999	47	72	1	870	" Mtot = 921.89. 0.5 mM BES"	"08/02/16"	"10:44:49"	10000059.695	72.083	31.956	1017.88	38	763.472785586676	22.7905962445398	0	9999999	905.675	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	11.8
"547"	54	1	"08/11/16 18:25:47"	1470954251.13852	-22.592	9999999	-59.558	70.831	0.778	55.652	9999999	47	72	1	873	" Mtot = 921.89. 0.5 mM BES"	"08/11/16"	"18:25:47"	10000054.652	71.609	36.095	1017.76	41	763.382778184752	22.8718809212832	0	9999999	905.675	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	15.1
"548"	55	1	"08/11/16 18:35:49"	1470954853.85963	-22.57	9999999	-61.351	70.937	0.78	61.389	9999999	47	72	1	873	" Mtot = 921.89. 0.5 mM BES"	"08/11/16"	"18:35:49"	10000060.389	71.717	36.4	1017.76	41	763.382778184752	22.8718809212832	0	9999999	905.675	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	15.1
"606"	51	1	"08/22/16 17:46:27"	1471902291.47372	-19.936	9999999	-53.79	66.915	0.737	52.207	9999999	47	72	1	872	" Mtot = 921.89. 0.5 mM BES."	"08/22/16"	"17:46:27"	10000051.207	67.652	39.659	1010.73	42	758.109844555371	23.0045818890909	0	9999999	905.675	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	18.4
"607"	52	1	"08/22/16 17:56:24"	1471902888.22661	-19.839	9999999	-57.401	66.57	0.733	60.022	9999999	47	72	1	872	" Mtot = 921.89. 0.5 mM BES"	"08/22/16"	"17:56:24"	10000059.022	67.303	39.846	1010.73	42	758.109844555371	23.0045818890909	0	9999999	905.675	"Bcubi 500x"	"20160706"	1	"0.10"	"34.8"	"0"	18.4
