"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"
"11"	11	1	"07/07/16 12:01:39"	1467907203.27771	-41.341	-39.87	-3.473	4.649	0.05	4.635	0.05	8	50	5	844	" Bag 8. ID 50. Mtot = 951.33.  "	"07/07/16"	"12:01:39"	4.685	4.699	106.573	1008.53	25	756.459708853431	4.46289466641524	0	-39.87	935.03	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"
"12"	12	1	"07/07/16 12:12:27"	1467907851.06824	-40.781	-39.563	-3.932	4.226	0.046	4.214	0.046	8	50	5	841	" Bag 8. ID 50. Mtot = 951.33."	"07/07/16"	"12:12:27"	4.26	4.272	126.766	1008.53	25	756.459708853431	4.44703129674788	0	-39.563	935.03	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"
"13"	13	1	"07/07/16 12:23:15"	1467908499.60859	-40.75	-39.674	-3.885	4.249	0.046	4.237	0.046	8	50	5	841	" Bag 8. ID 50. Mtot = 951.33."	"07/07/16"	"12:23:15"	4.283	4.295	138.659	1008.53	25	756.459708853431	4.44703129674788	0	-39.674	935.03	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"
"14"	14	1	"07/07/16 12:36:30"	1467909294.758	-40.231	-39.479	-7.809	2.865	0.031	2.857	0.031	15	51	5	841	" Mtot = 816.43."	"07/07/16"	"12:36:30"	2.888	2.896	164.197	1008.53	25	756.459708853431	4.44703129674788	0	-39.479	800.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"
"15"	15	1	"07/07/16 12:47:43"	1467909967.31598	-40.597	-39.339	-7.877	3.09	0.033	3.081	0.033	15	51	5	842	" Mtot = 816.43."	"07/07/16"	"12:47:43"	3.114	3.123	181.655	1008.53	25	756.459708853431	4.452319086637	0	-39.339	800.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"
"16"	16	1	"07/07/16 12:57:59"	1467910583.06264	-40.291	-39.601	-8.354	2.855	0.031	2.849	0.031	15	51	5	842	" Mtot = 816.43."	"07/07/16"	"12:57:59"	2.88	2.886	161.017	1008.53	25	756.459708853431	4.452319086637	0	-39.601	800.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"
"17"	17	1	"07/07/16 13:09:00"	1467911244.13486	-36.575	-37.67	-9.456	3.702	0.04	3.705	0.04	36	52	5	842	" Mtot = 761.46."	"07/07/16"	"13:09:00"	3.745	3.742	168.361	1008.53	25	756.459708853431	4.452319086637	0	-37.67	745.11	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"
"19"	19	1	"07/07/16 13:29:03"	1467912447.63698	-37.681	-38.879	-8.187	3.3	0.036	3.301	0.036	36	52	5	842	" Mtot = 761.46. "	"07/07/16"	"13:29:03"	3.337	3.336	160.949	1008.53	25	756.459708853431	4.452319086637	0	-38.879	745.11	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"
"20"	20	1	"07/07/16 13:40:20"	1467913124.44002	-40.44	-39.902	-13.871	4.062	0.044	4.054	0.044	23	53	5	842	" Mtot = 809.55."	"07/07/16"	"13:40:20"	4.098	4.106	36.129	1008.53	25	756.459708853431	4.452319086637	0	-39.902	793.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"
"21"	21	1	"07/07/16 13:51:03"	1467913767.16294	-40.207	-39.451	-13.04	4.023	0.043	4.016	0.043	23	53	5	842	" Mtot = 809.55. "	"07/07/16"	"13:51:03"	4.059	4.066	37.075	1008.53	25	756.459708853431	4.452319086637	0	-39.451	793.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"
