"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"	"hs.removed"
"20"	20	1	"07/07/16 13:40:20"	1467913124.44002	-40.44	-39.902	-13.871	4.062	0.044	4.054	0.044	23	53	5	842	" Mtot = 809.55."	"07/07/16"	"13:40:20"	4.098	4.106	36.129	1008.53	25	756.459708853431	4.452319086637	0	-39.902	793.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	0
"21"	21	1	"07/07/16 13:51:03"	1467913767.16294	-40.207	-39.451	-13.04	4.023	0.043	4.016	0.043	23	53	5	842	" Mtot = 809.55. "	"07/07/16"	"13:51:03"	4.059	4.066	37.075	1008.53	25	756.459708853431	4.452319086637	0	-39.451	793.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	0
"235"	13	1	"07/13/16 09:43:59"	1468417344.64091	-41.845	-41.249	-89.898	3.45	0.037	3.449	0.037	23	53	5	857	" Mtot = 809.55. 31 mM NaOH"	"07/13/16"	"09:43:59"	3.486	3.487	17.967	1015.91	30	761.995164071757	4.49871621452598	0	-41.249	793.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	10
"236"	14	1	"07/13/16 09:53:57"	1468417941.24061	-41.519	-41.436	-120.565	3.456	0.037	3.461	0.037	23	53	5	857	" Mtot = 809.55. 31 mM NaOH"	"07/13/16"	"09:53:57"	3.498	3.493	18.73	1015.91	30	761.995164071757	4.49871621452598	0	-41.436	793.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	10
"325"	13	1	"07/20/16 10:02:27"	1469023250.9455	-44.399	-42.257	-65.104	2.136	0.023	2.125	0.023	23	53	5	876	" Mtot = 809.55. 93 mM NaOH. NaOH concentration tripled (added 2x more) since the last injection."	"07/20/16"	"10:02:27"	2.148	2.159	18.272	1021.91	34	766.495534167957	4.57145520593756	0	-42.257	793.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	20
"326"	14	1	"07/20/16 10:12:40"	1469023865.00747	-43.616	-42.363	-82.795	2.129	0.023	2.121	0.023	23	53	5	875	" Mtot = 809.55. 93 mM NaOH. NaOH concentration tripled (added 2x more) since the last injection."	"07/20/16"	"10:12:40"	2.144	2.152	12.557	1021.91	34	766.495534167957	4.5662366497664	0	-42.363	793.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	20
"414"	14	1	"08/01/16 14:00:07"	1470074309.88681	-42.783	-40.416	-73.511	3.446	0.037	3.431	0.037	23	53	5	870	" Mtot = 809.55. 93 mM NaOH. "	"08/01/16"	"14:00:07"	3.468	3.483	20.343	1017.29	37	763.030249193883	4.56076283171802	0	-40.416	793.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	26
"415"	15	1	"08/01/16 14:10:46"	1470074949.31508	-42.966	-40.387	-83.724	3.462	0.037	3.447	0.037	23	53	5	870	" Mtot = 809.55. 93 mM NaOH. "	"08/01/16"	"14:10:46"	3.484	3.499	16.66	1017.29	37	763.030249193883	4.56076283171802	0	-40.387	793.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	26
"505"	12	1	"08/11/16 10:22:15"	1470925238.71954	-42.555	-40.777	-42.273	3.52	0.038	3.508	0.038	23	53	5	881	" Mtot = 809.55. 93 mM NaOH. "	"08/11/16"	"10:22:15"	3.546	3.558	37.458	1017.76	41	763.382778184752	4.6162948663575	0	-40.777	793.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	36
"506"	13	1	"08/11/16 10:32:18"	1470925841.18786	-43.073	-41.161	-46.044	3.506	0.038	3.493	0.038	23	53	5	881	" Mtot = 809.55. 93 mM NaOH. "	"08/11/16"	"10:32:18"	3.531	3.544	32.317	1017.76	41	763.382778184752	4.6162948663575	0	-41.161	793.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	36
"565"	10	1	"08/22/16 09:58:22"	1471874205.07141	-43.453	-41.407	-33.53	3.693	0.04	3.677	0.04	23	53	5	874	" Mtot = 809.55. 93 mM NaOH."	"08/22/16"	"09:58:22"	3.717	3.733	74.189	1010.73	42	758.109844555371	4.61146893831776	0	-41.407	793.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	46
"566"	11	1	"08/22/16 10:08:38"	1471874822.49728	-43.774	-41.305	-36.385	3.694	0.04	3.677	0.04	23	53	5	873	" Mtot = 809.55. 93 mM NaOH. "	"08/22/16"	"10:08:38"	3.717	3.734	54.855	1010.73	42	758.109844555371	4.60619265806797	0	-41.305	793.25	"Nbay 1x"	"20160706"	1	"0.11"	"33.1"	"18"	46
