"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"	"hs.removed"
"39"	39	1	"07/07/16 17:09:26"	1467925670.54683	-37.519	-38.056	-17.578	13.35	0.145	13.34	0.144	11	56	5	837	" Mtot = 904.24."	"07/07/16"	"17:09:26"	13.484	13.495	32.562	1008.53	25	756.459708853431	4.42588013719141	0	-38.056	888.12	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	0
"40"	40	1	"07/07/16 17:19:46"	1467926290.52761	-37.565	-38.326	-16.462	8.193	0.089	8.188	0.089	11	56	3	837	" Mtot = 904.24."	"07/07/16"	"17:19:46"	8.277	8.282	28.556	1008.53	25	756.459708853431	7.37646689531902	0	-38.326	888.12	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	0
"41"	41	1	"07/07/16 17:29:30"	1467926874.76603	-37.548	-38.209	-19.806	8.39	0.091	8.385	0.091	11	56	3	837	" Mtot = 904.24."	"07/07/16"	"17:29:30"	8.476	8.481	28.793	1008.53	25	756.459708853431	7.37646689531902	0	-38.209	888.12	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	0
"42"	42	1	"07/07/16 17:39:31"	1467927474.97469	-37.449	-38.231	-16.962	8.274	0.09	8.27	0.089	11	56	3	837	" Mtot = 904.24."	"07/07/16"	"17:39:31"	8.359	8.364	29.598	1008.53	25	756.459708853431	7.37646689531902	0	-38.231	888.12	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	0
"241"	19	1	"07/13/16 10:46:22"	1468421087.37346	-41.685	-42.876	-197.525	8.291	0.089	8.287	0.089	11	56	3	857	" Mtot = 820.55. 31 mM NaOH"	"07/13/16"	"10:46:22"	8.376	8.38	7.632	1015.91	30	761.995164071757	7.49786035754331	0	-42.876	888.12	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	14
"242"	20	1	"07/13/16 10:56:07"	1468421672.54658	-42.346	-43.171	-193.972	8.22	0.089	8.213	0.088	11	56	3	856	" Mtot = 820.55. 31 mM NaOH"	"07/13/16"	"10:56:07"	8.301	8.309	7.415	1015.91	30	761.995164071757	7.48911139563252	0	-43.171	888.12	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	14
"332"	20	1	"07/20/16 11:17:43"	1469027767.83311	-47.545	-49.027	-95.265	10.156	0.109	10.142	0.108	11	56	3	875	" Mtot = 820.55. 93 mM NaOH. NaOH concentration tripled (added 2x more) since the last injection."	"07/20/16"	"11:17:43"	10.25	10.265	10.686	1021.91	34	766.495534167957	7.61039441627734	0	-49.027	888.12	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	20
"333"	21	1	"07/20/16 11:28:00"	1469028384.97993	-47.626	-49.195	-101.275	10.163	0.109	10.151	0.108	11	56	3	875	" Mtot = 820.55. 93 mM NaOH. NaOH concentration tripled (added 2x more) since the last injection."	"07/20/16"	"11:28:00"	10.259	10.272	9.125	1021.91	34	766.495534167957	7.61039441627734	0	-49.195	888.12	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	20
"437"	37	1	"08/01/16 18:27:33"	1470090356.48061	-47.029	-48.618	-80.451	10.095	0.108	10.085	0.108	11	56	3	870	" Mtot = 820.55. 93 mM NaOH."	"08/01/16"	"18:27:33"	10.193	10.203	11.92	1017.29	37	763.030249193883	7.6012713861967	0	-48.618	888.12	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	26
"438"	38	1	"08/01/16 18:37:42"	1470090966.42652	-47.022	-48.425	-72.562	9.805	0.105	9.793	0.105	11	56	3	869	" Mtot = 820.55. 93 mM NaOH."	"08/01/16"	"18:37:42"	9.898	9.91	14.902	1017.29	37	763.030249193883	7.59253429264935	0	-48.425	888.12	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	26
