"term" "estimate" "std.error" "statistic" "p.value" "info" "sample.ID" "N"
"1" "(Intercept)" -11.2751618627683 0.0652197004074602 -172.879694207834 3.04124512092245e-20 "lm.ppm" 60 13
"2" "data.oxi$time.days" -0.0437940510495597 0.00414158013083561 -10.5742372877194 4.220012813622e-07 "lm.ppm" 60 13
"3" "(Intercept)" -10.5921181777411 0.00908909656212802 -1165.36534795722 3.25312474789958e-12 "lm.ppm.sel" 60 6
"4" "data.oxi.sel$time.days" -0.0725066391666941 0.000397066047801781 -182.605991038776 5.3951601238235e-09 "lm.ppm.sel" 60 6
"5" "(Intercept)" 0.767238807768201 0.36801874535858 2.08478186897964 0.0611903093992251 "lm.delta.low" 60 13
"6" "data.oxi$time.days" -0.202150786678276 0.0233699191199872 -8.65004220341463 3.08464270638428e-06 "lm.delta.low" 60 13
"7" "(Intercept)" 0.218666869741281 0.104887169729802 2.08478186897964 0.0611903093992251 "lm.delta.high" 60 13
"8" "data.oxi$time.days" -0.0576139779311462 0.00666054298653051 -8.65004220341462 3.08464270638429e-06 "lm.delta.high" 60 13
"9" "(Intercept)" 4.55853907763074 0.118546718453537 38.4535239532371 2.73181424566601e-06 "lm.delta.low.sel" 60 6
"10" "data.oxi.sel$time.days" -0.362042404703271 0.00517882901281397 -69.908159510088 2.5086933479291e-07 "lm.delta.low.sel" 60 6
"11" "(Intercept)" 1.29920627138034 0.0337864033725566 38.4535239532371 2.73181424566599e-06 "delta.high.sel" 60 6
"12" "data.oxi.sel$time.days" -0.103183882969054 0.001475991982798 -69.9081595100881 2.50869334792909e-07 "delta.high.sel" 60 6
