"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"	"hs.removed"
"63"	17	1	"07/07/16 21:41:50"	1467942022.89408	-22.18	9999999	0.582	1319.905	14.525	381.048	9999999	28	60	15	835	" Mtot = 809.11. CH4 381ppm"	"07/07/16"	"21:41:50"	10000380.048	1334.43	316.757	1008.53	25	756.459708853431	1.47176818580439	0	9999999	792.82	"Nbay 500x"	"20160706"	1	"0.10"	"33.1"	"18"	0
"65"	19	1	"07/07/16 22:03:44"	1467943327.48386	-22.402	9999999	-1.893	85.942	0.945	57.628	9999999	28	60	1	835	" Mtot = 809.11. "	"07/07/16"	"22:03:44"	10000056.628	86.887	13.525	1008.53	25	756.459708853431	22.0765227870659	0	9999999	792.82	"Nbay 500x"	"20160706"	1	"0.10"	"33.1"	"18"	0
"66"	20	1	"07/07/16 22:14:24"	1467943969.37512	-22.33	9999999	-1.776	87.871	0.966	73.021	9999999	28	60	1	835	" Mtot = 809.11. "	"07/07/16"	"22:14:24"	10000072.021	88.837	13.076	1008.53	25	756.459708853431	22.0765227870659	0	9999999	792.82	"Nbay 500x"	"20160706"	1	"0.10"	"33.1"	"18"	0
"170"	40	1	"07/10/16 15:10:27"	1468177731.66906	-22.747	9999999	-30.848	82.518	0.907	67.152	9999999	28	60	1	863	" Mtot = 809.11."	"07/10/16"	"15:10:27"	10000066.152	83.425	17.815	1009.33	27	757.059758199591	22.7987286512851	0	9999999	792.82	"Nbay 500x"	"20160706"	1	"0.10"	"33.1"	"18"	19.4
"171"	41	1	"07/10/16 15:21:56"	1468178421.43105	-22.774	9999999	-31.703	83.784	0.921	64.02	9999999	28	60	1	863	" Mtot = 809.11."	"07/10/16"	"15:21:56"	10000063.02	84.705	17.677	1009.33	27	757.059758199591	22.7987286512851	0	9999999	792.82	"Nbay 500x"	"20160706"	1	"0.10"	"33.1"	"18"	19.4
"258"	36	1	"07/13/16 14:24:53"	1468434199.14955	-22.691	9999999	-38.919	83.779	0.921	64.136	9999999	28	60	1	853	" Mtot = 809.11."	"07/13/16"	"14:24:53"	10000063.136	84.7	31.674	1015.91	30	761.995164071757	22.3885935297005	0	9999999	792.82	"Nbay 500x"	"20160706"	1	"0.10"	"33.1"	"18"	21.6
"259"	37	1	"07/13/16 14:35:55"	1468434859.60481	-22.666	9999999	-37.644	83.149	0.914	67.809	9999999	28	60	1	853	" Mtot = 809.11."	"07/13/16"	"14:35:55"	10000066.809	84.063	32.284	1015.91	30	761.995164071757	22.3885935297005	0	9999999	792.82	"Nbay 500x"	"20160706"	1	"0.10"	"33.1"	"18"	21.6
"349"	37	1	"07/20/16 14:34:41"	1469039585.04233	-22.18	9999999	-26.311	76.805	0.844	57.694	9999999	28	60	1	873	" Mtot = 809.11."	"07/20/16"	"14:34:41"	10000056.694	77.649	52.439	1021.91	34	766.495534167957	22.7789976871204	0	9999999	792.82	"Nbay 500x"	"20160706"	1	"0.10"	"33.1"	"18"	23.8
"350"	38	1	"07/20/16 14:46:09"	1469040273.81332	-22.209	9999999	-27.106	76.413	0.84	50.28	9999999	28	60	1	873	" Mtot = 809.11."	"07/20/16"	"14:46:09"	10000049.28	77.253	54.879	1021.91	34	766.495534167957	22.7789976871204	0	9999999	792.82	"Nbay 500x"	"20160706"	1	"0.10"	"33.1"	"18"	23.8
"471"	24	1	"08/02/16 11:46:56"	1470152719.64881	9.901	14.477	-21.509	9.749	0.111	9.742	0.111	28	60	0.5	869	" Mtot = 809.11."	"08/02/16"	"11:46:56"	9.853	9.86	60.667	1017.88	38	763.472785586676	45.5288003138047	0	14.477	792.82	"Nbay 500x"	"20160706"	1	"0.10"	"33.1"	"18"	26
"472"	25	1	"08/02/16 11:56:37"	1470153300.3167	9.999	14.363	-21.501	9.504	0.108	9.5	0.108	28	60	0.5	870	" Mtot = 809.11."	"08/02/16"	"11:56:37"	9.608	9.612	57.691	1017.88	38	763.472785586676	45.5811924890795	0	14.363	792.82	"Nbay 500x"	"20160706"	1	"0.10"	"33.1"	"18"	26
"486"	7	1	"08/04/16 09:20:26"	1470316730.63907	13.512	18.48	-20.768	6.925	0.079	6.921	0.079	28	60	0.5	872	" Mtot = 809.11."	"08/04/16"	"09:20:26"	7	7.004	74.85	1020.45	40	765.400444111215	45.5709168558202	0	18.48	792.82	"Nbay 500x"	"20160706"	1	"0.10"	"33.1"	"18"	28.3
"487"	8	1	"08/04/16 09:30:17"	1470317321.11844	13.754	18.603	-22.623	6.843	0.078	6.84	0.078	28	60	0.5	872	" Mtot = 809.11."	"08/04/16"	"09:30:17"	6.918	6.921	69.274	1020.45	40	765.400444111215	45.5709168558202	0	18.603	792.82	"Nbay 500x"	"20160706"	1	"0.10"	"33.1"	"18"	28.3
