"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"	"hs.removed"
"67"	21	1	"07/07/16 22:27:04"	1467944728.83384	-36.916	-37.353	-19.766	2.645	0.029	2.642	0.029	33	61	1	835	" Mtot = 789.63."	"07/07/16"	"22:27:04"	2.671	2.674	14.459	1008.53	25	756.459708853431	22.0765227870659	0	-37.353	782.47	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	0
"68"	22	1	"07/07/16 22:37:53"	1467945378.52072	-37.293	-37.792	-7.6	8.672	0.094	8.664	0.094	33	61	3	835	" Mtot = 789.63."	"07/07/16"	"22:37:53"	8.758	8.766	62.409	1008.53	25	756.459708853431	7.35884092902196	0	-37.792	782.47	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	0
"69"	23	1	"07/07/16 22:48:11"	1467945996.16591	-37.083	-37.867	-6.841	8.647	0.094	8.642	0.093	33	61	3	834	" Mtot = 789.63."	"07/07/16"	"22:48:11"	8.735	8.741	58.394	1008.53	25	756.459708853431	7.35002794587343	0	-37.867	782.47	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	0
"150"	20	1	"07/10/16 11:26:36"	1468164301.33532	-37.652	-38.385	-12.659	8.182	0.089	8.177	0.088	33	61	3	866	" Mtot = 798.36."	"07/10/16"	"11:26:36"	8.265	8.271	75.214	1009.33	27	757.059758199591	7.62599421089722	0	-38.385	782.47	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	7
"151"	21	1	"07/10/16 11:37:52"	1468164975.87426	-37.434	-38.203	-13.113	8.312	0.09	8.309	0.09	33	61	3	866	" Mtot = 798.36."	"07/10/16"	"11:37:52"	8.399	8.402	81.505	1009.33	27	757.059758199591	7.62599421089722	0	-38.203	782.47	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	7
"247"	25	1	"07/13/16 11:49:45"	1468424889.84296	-37.876	-38.676	-20.749	7.52	0.081	7.517	0.081	33	61	3	856	" Mtot = 798.36. 0.5 mM BES"	"07/13/16"	"11:49:45"	7.598	7.601	87.312	1015.91	30	761.995164071757	7.48911139563252	0	-38.676	782.47	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	13
"248"	26	1	"07/13/16 12:00:39"	1468425543.76554	-37.957	-38.572	-19.911	7.478	0.081	7.473	0.081	33	61	3	856	" Mtot = 798.36. 0.5 mM BES"	"07/13/16"	"12:00:39"	7.554	7.559	91.404	1015.91	30	761.995164071757	7.48911139563252	0	-38.572	782.47	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	13
"338"	26	1	"07/20/16 12:18:52"	1469031437.03579	-38.202	-38.985	-12.483	7.677	0.083	7.67	0.083	33	61	3	874	" Mtot = 798.36. 0.5 mM BES"	"07/20/16"	"12:18:52"	7.753	7.76	179.901	1021.91	34	766.495534167957	7.60169682265873	0	-38.985	782.47	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	19
"339"	27	1	"07/20/16 12:28:34"	1469032017.86028	-38.206	-38.89	-12.889	7.712	0.083	7.704	0.083	33	61	3	874	" Mtot = 798.36. 0.5 mM BES"	"07/20/16"	"12:28:34"	7.787	7.795	180.836	1021.91	34	766.495534167957	7.60169682265873	0	-38.89	782.47	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	19
"443"	43	1	"08/01/16 19:30:22"	1470094125.45092	-37.29	-38.129	-9.914	7.339	0.079	7.333	0.079	33	61	3	868	" Mtot = 798.36. 0.5 mM BES"	"08/01/16"	"19:30:22"	7.412	7.418	472.944	1017.29	37	763.030249193883	7.58379719910199	0	-38.129	782.47	"Nbay 50x"	"20160706"	1	"0.15"	"33.1"	"18"	25
