lookupVariable,lookupValue,newVariable,newValue
sample.ID,1,m.water,902.89
sample.ID,2,m.water,875.81
sample.ID,3,m.water,913.27
sample.ID,4,m.water,885.5
sample.ID,5,m.water,636.42
sample.ID,6,m.water,837.37
sample.ID,7,m.water,606.57
sample.ID,8,m.water,908.2
sample.ID,9,m.water,726.88
sample.ID,10,m.water,679.03
sample.ID,11,m.water,804.73
sample.ID,12,m.water,879.19
sample.ID,13,m.water,799.06
sample.ID,14,m.water,762.1
sample.ID,15,m.water,846.33
sample.ID,16,m.water,846.95
sample.ID,17,m.water,876.49
sample.ID,18,m.water,800.6
sample.ID,19,m.water,804.88
sample.ID,20,m.water,814.22
sample.ID,21,m.water,853.92
sample.ID,22,m.water,834.78
sample.ID,23,m.water,855.56
sample.ID,24,m.water,865.3
sample.ID,25,m.water,1003.79
sample.ID,26,m.water,856.2
sample.ID,27,m.water,738.98
sample.ID,28,m.water,912.59
sample.ID,29,m.water,738.82
sample.ID,30,m.water,478.57
sample.ID,32,m.water,834.17
sample.ID,33,m.water,712.96
sample.ID,34,m.water,461.22
sample.ID,35,m.water,774.27
sample.ID,36,m.water,810.47
sample.ID,37,m.water,724.28
sample.ID,38,m.water,746.51
sample.ID,39,m.water,906.13
sample.ID,40,m.water,784.75
sample.ID,41,m.water,894.85
sample.ID,42,m.water,817.43
sample.ID,43,m.water,847.84
sample.ID,44,m.water,636.18
sample.ID,45,m.water,722.43
sample.ID,46,m.water,881.64
sample.ID,47,m.water,1016.33
sample.ID,48,m.water,994.06
sample.ID,49,m.water,803.51
sample.ID,50,m.water,935.03
sample.ID,51,m.water,800.25
sample.ID,52,m.water,745.11
sample.ID,53,m.water,793.25
sample.ID,54,m.water,885.74
sample.ID,55,m.water,964.61
sample.ID,56,m.water,888.12
sample.ID,57,m.water,866.83
sample.ID,58,m.water,888.41
sample.ID,59,m.water,868.39
sample.ID,60,m.water,792.82
sample.ID,61,m.water,782.47
sample.ID,62,m.water,899.89
sample.ID,63,m.water,809.82
